,song name,album,artist,featured,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
33,Prada Process (feat. 6lack),Dior Deposits (Deluxe),Guapdad 4000,"['Guapdad 4000', '6LACK']",2019-12-20,198717,37,0.463,0.57,0.63,0.111,84.537,0.501
34,How Many,How Many,Guapdad 4000,"['Guapdad 4000', '!llmind']",2021-02-12,205124,34,0.197,0.83,0.492,0.257,102.994,0.619
35,Shameless (feat. Guapdad 4000),Harlan & Alondra,Buddy,"['Buddy', 'Guapdad 4000']",2018-07-20,242160,35,0.287,0.713,0.677,0.304,143.882,0.539
36,Grammys,Grammys,Lou From Paradise,"['Lou From Paradise', 'Guapdad 4000']",2022-06-01,153782,25,0.138,0.872,0.816,0.105,140.008,0.861
37,"Passcode (with Ari Lennox feat. Buddy, Smino, Mez & Guapdad 4000)",Revenge Of The Dreamers III: Director's Cut,Dreamville,"['Dreamville', 'Ari Lennox', 'Buddy']",2020-01-16,206000,36,0.555,0.626,0.42,0.117,140.929,0.604
38,Ice Cold,Eat When You're Hungry Sleep When You're Tired,Jay Worthy,"['Jay Worthy', 'Harry Fraud', 'Guapdad 4000']",2020-05-01,196243,33,0.161,0.627,0.847,0.304,181.05,0.867
39,HALO HALO - REMIX (feat. Guapdad 4000 and Chevy),HALO HALO [REMIX (feat. Guapdad 4000 and Chevy)],Shawn Wasabi,"['Shawn Wasabi', 'Guapdad 4000', 'Chevy']",2020-10-09,170869,29,0.0249,0.749,0.883,0.308,92.02,0.647
40,Trade Places With Them Jeans,"Platinum Falcon Tape, Vol. 1",Guapdad 4000,['Guapdad 4000'],2020-04-24,139813,30,0.627,0.539,0.548,0.0798,172.012,0.385
41,"Anime Shawty, Vol. 2","Anime Shawty, Vol. 2",lil ricefield,"['lil ricefield', 'seiji oda', 'Guapdad 4000']",2021-01-29,185686,31,0.496,0.822,0.634,0.141,95.155,0.49
42,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),Dior Deposits (Deluxe),Guapdad 4000,"['Guapdad 4000', 'Chance the Rapper', 'Charlie Wilson']",2019-12-20,203669,33,0.383,0.583,0.665,0.145,112.842,0.927
43,IM COMING OVER THERE (feat. Guapdad 4000),BEFORE SHIT GOT WEIRD,The Cool Kids,"['The Cool Kids', 'Guapdad 4000']",2022-03-03,243500,27,0.0258,0.879,0.811,0.084,143.985,0.655
44,Greedy,"Platinum Falcon Tape, Vol. 1",Guapdad 4000,['Guapdad 4000'],2020-04-24,157563,31,0.0449,0.864,0.535,0.0527,128.02,0.825
45,"Link Up (feat. Kent Jamz, Bas, Guapdad 4000, J.I.D, Ari Lennox & BJ The Chicago Kid)",Harlan & Alondra (Deluxe),Buddy,"['Buddy', 'Kent Jamz', 'Bas']",2019-02-08,190466,30,0.143,0.766,0.855,0.108,112.003,0.227
46,Money,Money,Guapdad 4000,"['Guapdad 4000', 'Drew Banga']",2021-12-02,160399,27,0.0368,0.857,0.857,0.314,97.231,0.861
47,I Need Bands,I Need Bands,Guapdad 4000,['Guapdad 4000'],2022-01-21,169045,27,0.00829,0.851,0.637,0.0902,92.522,0.386
48,Catching Bodies,1176,Guapdad 4000,"['Guapdad 4000', '!llmind']",2021-03-19,168421,24,0.00986,0.967,0.528,0.17,113.982,0.178
49,Orgasm Full Of Pain (feat. Deante Hitchcock),Orgasm Full Of Pain (feat. Deante Hitchcock),Guapdad 4000,"['Guapdad 4000', ""Deante' Hitchcock""]",2020-07-24,216973,26,0.106,0.674,0.572,0.104,76.996,0.667
