,song name,album,artist,featured,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
128,Dead,LOST & FOUND,Jackson Wang,['Jackson Wang'],2022-03-07,139853,42,0.373,0.72,0.552,0.111,90.045,0.622
129,王嘉爾,王嘉爾,Jackson Wang,['Jackson Wang'],2022-01-11,273133,46,0.209,0.763,0.648,0.167,100.057,0.476
130,ON THE ROCKS,MIRRORS,Jackson Wang,['Jackson Wang'],2019-10-25,188760,45,0.00656,0.676,0.693,0.127,148.022,0.397
131,OKAY,OKAY,Jackson Wang,['Jackson Wang'],2017-11-30,192729,47,0.33,0.905,0.684,0.0554,120.025,0.542
132,In My Bed,LOST & FOUND,Jackson Wang,['Jackson Wang'],2022-03-07,138626,42,0.157,0.792,0.559,0.188,84.016,0.434
133,一個人 (Alone),一個人 (Alone),Jackson Wang,['Jackson Wang'],2021-01-30,185546,44,0.187,0.654,0.395,0.124,75.007,0.114
134,UNLESS I'M WITH YOU,MIRRORS,Jackson Wang,['Jackson Wang'],2019-10-25,147026,43,0.623,0.714,0.501,0.11,159.899,0.422
135,Red,Red,Jackson Wang,"['Jackson Wang', 'ICE']",2019-01-14,168463,42,0.156,0.735,0.846,0.0794,174.134,0.521
136,Poison,LOST & FOUND,Jackson Wang,['Jackson Wang'],2022-03-07,192280,42,0.0428,0.614,0.843,0.207,159.999,0.767
137,X,X,Jackson Wang,['Jackson Wang'],2018-05-25,132781,41,0.00467,0.81,0.817,0.297,110.024,0.698
138,DWAY!,MIRRORS,Jackson Wang,['Jackson Wang'],2019-10-25,145240,43,0.00971,0.845,0.498,0.0918,98.973,0.486
139,Damn Girl - feat. Jackson Wang,HIP LIFE:POP LIFE,CrazyBoy,"['CrazyBoy', 'Jackson Wang']",2022-01-21,182572,36,0.043,0.593,0.716,0.0629,193.819,0.488
140,Blackout,LOST & FOUND,Jackson Wang,['Jackson Wang'],2022-03-07,156640,42,0.218,0.655,0.627,0.153,167.94,0.782
141,Creo en Mi (feat. Jackson Wang),Believe In Mi,Sammi Cheng,"['Sammi Cheng', 'Jackson Wang']",2018-08-17,243000,38,0.551,0.443,0.577,0.151,159.775,0.2
142,Face Power (feat. Jackson Wang),Mr. Enjoy Da Money,KnowKnow,"['KnowKnow', 'Higher Brothers', 'Jackson Wang']",2019-12-12,178983,38,0.305,0.793,0.737,0.0945,88.493,0.172
143,So Bad (feat. 王嘉爾),So Bad (feat. 王嘉爾),VaVa,"['VaVa', 'Jackson Wang']",2021-03-13,194098,36,0.211,0.693,0.564,0.147,96.9,0.54
144,Power,LOST & FOUND,Jackson Wang,['Jackson Wang'],2022-03-07,190080,40,0.0139,0.649,0.749,0.251,158.03,0.933
145,Born To Be Alive - From 'Minions: The Rise of Gru' Soundtrack,Born To Be Alive (From 'Minions: The Rise of Gru' Soundtrack),Jackson Wang,['Jackson Wang'],2022-07-01,192425,44,0.0646,0.673,0.734,0.14,131.553,0.597
146,Papillon-Postlude of The Rookies - BOYTOY remix,Papillon-Postlude of The Rookies (BOYTOY remix),Jackson Wang,['Jackson Wang'],2019-07-05,219176,35,0.0879,0.571,0.943,0.2,170.109,0.807
147,Bruce Lee,Bruce Lee,Al Rocco,"['Al Rocco', 'Jackson Wang', 'Fader One']",2018-07-15,179885,37,0.494,0.882,0.613,0.294,134.013,0.72
148,New Tooth,New Tooth,Rich Brian,['Rich Brian'],2021-11-04,220000,50,0.631,0.788,0.678,0.141,120.019,0.39
149,Run It (feat. Rick Ross & Rich Brian),Shang-Chi and The Legend of The Ten Rings: The Album,88rising,"['DJ Snake', 'Rick Ross', 'Rich Brian']",2021-09-03,163373,68,0.0195,0.688,0.725,0.0726,104.006,0.225
150,Lazy Susan (with Rich Brian feat. Warren Hue & Masiwei),Shang-Chi and The Legend of The Ten Rings: The Album,88rising,"['21 Savage', 'Rich Brian', 'Warren Hue']",2021-09-03,279960,51,0.0428,0.766,0.825,0.102,155.967,0.646
151,edamame (feat. Rich Brian),edamame (feat. Rich Brian),bbno$,"['bbno$', 'Rich Brian']",2021-07-24,133706,75,0.023,0.815,0.848,0.0265,106.032,0.684
