,song name,album,artist,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
48,These Nights,These Nights,88rising,2019-10-03,223006,41,0.000317,0.656,0.673,0.28,83.018,0.494
49,FAST,FAST,CHUNG HA,2019-09-08,184199,23,0.0228,0.705,0.898,0.326,128.023,0.542
50,RUN,RUN,Grizzly,2019-08-22,176626,32,0.318,0.678,0.74,0.508,99.982,0.365
51,Young In Love,Flourishing,CHUNG HA,2019-06-24,198819,30,0.359,0.734,0.768,0.156,97.986,0.728
52,Call It Love,Flourishing,CHUNG HA,2019-06-24,241093,29,0.729,0.472,0.589,0.14,131.195,0.355
53,Flourishing,Flourishing,CHUNG HA,2019-06-24,195496,38,0.394,0.627,0.746,0.0866,140.074,0.509
54,NA YEOSS EU MYEON,[Vol.14] You Hee yul's Sketchbook 10th Anniversary Project : 6th Voice 'Sketchbook X CHUNG HA',CHUNG HA,2019-04-20,259885,0,0.429,0.423,0.759,0.309,137.727,0.322
55,A REUM DA UN I BYEOL,[Vol.13] You Hee yul's Sketchbook 10th Anniversary Project : 6th Voice 'Sketchbook X CHUNG HA',CHUNG HA,2019-04-13,205749,0,0.774,0.654,0.648,0.122,115.011,0.449
56,Whatcha Doin',Whatcha Doin',YESUNG,2018-12-17,209808,37,0.622,0.553,0.889,0.0851,99.329,0.742
57,It’s You,"Where Stars Land, Pt. 1 (Original Television Soundtrack)",CHUNG HA,2018-10-08,202904,31,0.631,0.584,0.709,0.208,107.919,0.26
58,BB,Blooming Blue,CHUNG HA,2018-07-18,77499,24,0.0763,0.471,0.64,0.0984,100.126,0.301
59,Cherry Kisses,Blooming Blue,CHUNG HA,2018-07-18,194429,29,0.407,0.577,0.909,0.16,100.012,0.708
60,Drive,Blooming Blue,CHUNG HA,2018-07-18,196460,26,0.235,0.779,0.84,0.189,109.999,0.821
61,From Now On,Blooming Blue,CHUNG HA,2018-07-18,209002,25,0.678,0.569,0.527,0.11,125.951,0.414
62,How about you,Luvpub OST Part.3,CHUNG HA,2018-04-18,199018,0,0.861,0.46,0.425,0.0828,133.588,0.298
63,Offset,Offset,CHUNG HA,2018-01-17,69612,23,0.293,0.777,0.404,0.143,93.041,0.076
64,Do It,Offset,CHUNG HA,2018-01-17,213748,27,0.317,0.672,0.724,0.267,159.051,0.451
65,Bad Boy,Offset,CHUNG HA,2018-01-17,187224,24,0.209,0.738,0.898,0.32,107.018,0.506
66,Remind of You,Offset,CHUNG HA,2018-01-17,243440,26,0.883,0.486,0.277,0.123,133.762,0.396
67,Hands on Me,Hands on Me,CHUNG HA,2017-06-07,68251,21,0.00605,0.822,0.614,0.186,131.099,0.473
68,Make a Wish,Hands on Me,CHUNG HA,2017-06-07,185206,23,0.517,0.707,0.925,0.159,92.012,0.668
69,Cosmic Dust,Hands on Me,CHUNG HA,2017-06-07,223934,22,0.881,0.45,0.404,0.1,171.947,0.368
70,Week,Week,CHUNG HA,2017-04-21,202547,27,0.836,0.592,0.483,0.14,82.831,0.388
71,Week,Week,CHUNG HA,2017-04-21,202547,27,0.836,0.592,0.483,0.14,82.831,0.388
72,Pit-A-Pat,"Strong Woman Do Bong Soon, Pt. 4 (Original Television Soundtrack)",CHUNG HA,2017-03-17,210429,40,0.314,0.653,0.727,0.209,82.983,0.703
73,REMEDY,Boyhood,CHANGMO,2019-11-29,201971,38,0.128,0.741,0.534,0.056,136.037,0.496
74,LALALA,LA VIDA LOCA,Babylon,2017-08-31,214782,23,0.129,0.769,0.895,0.196,104.948,0.631
