,song name,album,artist,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
48,Lifetime,Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,207020,55,0.769,0.669,0.276,0.115,90.025,0.341
49,No Brainer,No Brainer,DJ Khaled,2018-07-27,260000,66,0.0733,0.552,0.76,0.0865,135.702,0.639
50,Purpose,Purpose (Deluxe),Justin Bieber,2015-11-13,210160,66,0.9,0.481,0.285,0.123,130.029,0.316
51,Die For You (feat. Dominic Fike),Justice,Justin Bieber,2021-03-19,198425,49,0.00196,0.729,0.632,0.0848,135.027,0.702
52,Don’t Go (with Justin Bieber & Don Toliver),Don’t Go (with Justin Bieber & Don Toliver),Skrillex,2021-08-20,168253,67,0.019,0.689,0.695,0.123,75.05,0.359
53,Unstable (feat. The Kid LAROI),Justice,Justin Bieber,2021-03-19,158324,69,0.737,0.495,0.333,0.112,99.757,0.37
54,#thatPOWER,#willpower (Deluxe),will.i.am,2013-01-01,279506,66,0.00112,0.797,0.608,0.0748,127.999,0.402
55,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",Dan + Shay,2019-10-04,167693,76,0.153,0.654,0.63,0.111,89.991,0.43
56,I Can't Be Myself (feat. Jaden),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,193359,51,0.00195,0.704,0.66,0.141,120.064,0.54
57,Loved By You (feat. Burna Boy),Justice,Justin Bieber,2021-03-19,159250,67,0.0696,0.79,0.724,0.113,101.04,0.642
58,Habitual,Changes,Justin Bieber,2020-02-14,168200,61,0.52,0.764,0.443,0.0749,138.999,0.63
59,All Around The World,Believe (Deluxe Edition),Justin Bieber,2012-06-15,244546,57,0.0188,0.689,0.816,0.181,127.972,0.776
60,Changes,Changes,Justin Bieber,2020-02-14,135493,60,0.738,0.485,0.412,0.12,64.062,0.612
61,Somebody,Justice,Justin Bieber,2021-03-19,179414,50,0.000286,0.547,0.753,0.12,75.999,0.375
62,Love You Different (feat. BEAM),Justice,Justin Bieber,2021-03-19,186695,49,0.068,0.756,0.59,0.159,127.143,0.382
63,Wish You Would (feat. Quavo),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,241391,48,0.032,0.592,0.679,0.0741,139.941,0.409
64,Lolly,Lolly,Maejor,2013-01-01,225506,64,0.0376,0.663,0.889,0.784,152.186,0.837
65,All Around Me,Changes,Justin Bieber,2020-02-14,136906,59,0.809,0.566,0.438,0.212,117.127,0.692
66,U Smile,My World 2.0,Justin Bieber,2010-01-01,196906,61,0.504,0.705,0.59,0.116,112.565,0.421
67,I'll Show You,Purpose (Deluxe),Justin Bieber,2015-11-13,199946,63,0.05,0.361,0.608,0.183,191.812,0.0789
68,Know No Better (feat. DaBaby),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,161819,48,0.612,0.671,0.438,0.0947,131.92,0.854
69,Second Emotion (feat. Travis Scott),Changes,Justin Bieber,2020-02-14,202720,58,0.0276,0.796,0.777,0.095,141.97,0.96
70,That's What Love Is,Changes,Justin Bieber,2020-02-14,165120,57,0.692,0.639,0.437,0.12,147.575,0.751
71,Heartbreaker,Journals,Justin Bieber,2014-05-13,262840,47,0.156,0.572,0.503,0.346,103.215,0.553
72,Name (feat. Tori Kelly),Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,159724,47,0.826,0.432,0.325,0.0891,151.494,0.295
73,Be Alright,Believe (Deluxe Edition),Justin Bieber,2012-06-15,189653,54,0.589,0.803,0.356,0.16,106.95,0.739
74,Get Me (feat. Kehlani),Changes,Justin Bieber,2020-02-14,185426,57,0.0492,0.832,0.508,0.107,109.352,0.75
