,song name,album,artist,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
47,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,258812,75,0.817,0.606,0.377,0.154,101.96,0.446
48,the 1,folklore,Taylor Swift,2020-07-24,210251,76,0.757,0.777,0.357,0.108,139.883,0.172
49,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,243136,81,0.0033,0.402,0.732,0.108,161.032,0.472
50,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,285106,74,0.167,0.391,0.715,0.183,149.654,0.473
51,You Need To Calm Down,Lover,Taylor Swift,2019-08-23,171360,76,0.00929,0.771,0.671,0.0637,85.026,0.714
52,Red,Red,Taylor Swift,2012-10-22,220826,60,0.0773,0.602,0.896,0.091,124.978,0.641
53,New Romantics,1989 (Deluxe Edition),Taylor Swift,2014-10-27,230466,68,0.00463,0.633,0.889,0.0658,121.956,0.584
54,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,240226,72,0.817,0.61,0.488,0.312,125.039,0.443
55,The Man,Lover,Taylor Swift,2019-08-23,190360,78,0.0767,0.777,0.658,0.0901,110.048,0.633
56,Lover,Lover,Taylor Swift,2019-08-23,221306,84,0.492,0.359,0.543,0.118,68.534,0.453
57,Last Kiss,Speak Now,Taylor Swift,2010-10-25,367133,61,0.57,0.371,0.341,0.101,89.038,0.196
58,All Too Well,Red (Deluxe Edition),Taylor Swift,2012-10-22,327893,63,0.0382,0.602,0.609,0.127,93.06,0.337
59,my tears ricochet,folklore,Taylor Swift,2020-07-24,255893,76,0.806,0.456,0.263,0.0749,129.86,0.111
60,gold rush,evermore,Taylor Swift,2020-12-11,185320,71,0.83,0.512,0.462,0.121,112.05,0.353
61,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,297013,62,0.214,0.473,0.579,0.0877,73.942,0.255
62,Look What You Made Me Do,reputation,Taylor Swift,2017-11-10,211853,78,0.204,0.766,0.709,0.126,128.07,0.506
63,End Game,reputation,Taylor Swift,2017-11-10,244826,73,0.00845,0.649,0.589,0.108,159.073,0.151
64,Out Of The Woods,1989,Taylor Swift,2014-10-27,235800,64,0.00103,0.552,0.842,0.337,91.991,0.343
65,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,224240,70,0.0538,0.584,0.743,0.121,167.844,0.746
66,"no body, no crime (feat. HAIM)",evermore,Taylor Swift,2020-12-11,215626,68,0.418,0.546,0.613,0.103,79.015,0.535
67,Gorgeous,reputation,Taylor Swift,2017-11-10,209680,78,0.0713,0.8,0.535,0.213,92.027,0.451
68,‘tis the damn season,evermore,Taylor Swift,2020-12-11,229840,67,0.735,0.575,0.434,0.105,145.916,0.348
69,Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,263533,59,0.256,0.611,0.552,0.134,116.012,0.41
70,The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,200280,73,0.00115,0.678,0.733,0.104,121.009,0.581
71,long story short,evermore,Taylor Swift,2020-12-11,215920,64,0.66,0.546,0.73,0.0972,157.895,0.573
72,evermore (feat. Bon Iver),evermore,Taylor Swift,2020-12-11,304106,65,0.937,0.39,0.27,0.111,125.177,0.32
73,Everything Has Changed,Red,Taylor Swift,2012-10-22,243933,57,0.36,0.624,0.458,0.303,80.017,0.436
74,Love Story (Taylor's Version) - Elvira Remix,Love Story (Taylor's Version) [Elvira Remix],Taylor Swift,2021-03-23,211857,60,0.00215,0.669,0.56,0.264,123.068,0.155
