,song name,album,artist,popularity,featured,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
120,Little Prince (feat. NIKI),Amen,Rich Brian,49,NIKI,2018-02-02,3jKJnHixssQxdCShjpirKQ,0.909,0.414,0,-7.337,1,0.0514,2.49e-05,0.109,0.761,139.963,172445,4,This Is Rich Brian
121,See Me,Amen,Rich Brian,46,Rich Brian,2018-02-02,17I8HJ0rI760NXwve92rpO,0.854,0.578,5,-8.824,1,0.0889,1.1e-06,0.0844,0.306,137.025,212472,4,This Is Rich Brian
122,Amen,Amen,Rich Brian,44,Rich Brian,2018-02-02,4gAakyurZ4cbgnPyTuswp7,0.918,0.684,11,-9.208,0,0.285,3.16e-06,0.0907,0.774,140.077,116710,4,This Is Rich Brian
123,18,18,Various Artists,45,Baauer,2018-01-16,3wrPaT9MQxCG1LQmNvNRed,0.632,0.629,2,-5.935,1,0.258,0.0,0.344,0.207,179.882,254508,4,This Is Rich Brian
124,Flight,Amen,Rich Brian,42,Rich Brian,2018-02-02,2vyEkiHFDjWW19k0h3uvFv,0.77,0.564,0,-5.615,1,0.0421,0.00306,0.103,0.348,97.35,177463,4,This Is Rich Brian
125,Occupied,Amen,Rich Brian,42,Rich Brian,2018-02-02,7tCtApWNvLIIlplk3NieWx,0.819,0.823,11,-7.491,1,0.132,0.000422,0.0676,0.805,82.5,161804,4,This Is Rich Brian
126,Arizona (feat. AUGUST 08),Amen,Rich Brian,43,AUGUST 08,2018-02-02,3q0UN40vV6mI7TT560Ry5l,0.651,0.526,8,-10.886,1,0.356,0.0,0.386,0.509,95.049,292381,4,This Is Rich Brian
127,The Weekend,The Weekend,88rising,69,BIBI,2021-10-14,5q3LwAHTqo9d3rET2EA9Nq,0.784,0.521,1,-5.701,1,0.0322,4.75e-06,0.0995,0.817,101.491,167662,4,This Is BIBI
128,LAW (Prod. Czaer),Street Man Fighter Original Vol.3 (Mission by Rank),Various Artists,71,BIBI,2022-09-06,0VES0jpNQEdRpD31gYDIMe,0.756,0.9,2,-4.428,1,0.0843,0.000111,0.237,0.55,128.054,189373,4,This Is BIBI
129,Best Lover,Head In The Clouds Forever,88rising,66,BIBI,2022-04-16,0iWFz0Q5Qha9bx325ocFWq,0.74,0.663,7,-5.393,1,0.272,0.0,0.121,0.519,82.004,152911,4,This Is BIBI
130,Animal Farm,Animal Farm,BIBI,69,BIBI,2022-09-27,3gAXVQOR0h7Ks71lsr5MFZ,0.617,0.57,5,-4.28,0,0.0308,5.92e-06,0.55,0.375,107.971,203946,3,This Is BIBI
131,KAZINO,KAZINO,BIBI,65,BIBI,2020-04-29,245onUPHGD1DYuiacxTuW0,0.625,0.686,6,-3.715,0,0.0414,0.0,0.11,0.263,133.041,185947,4,This Is BIBI
132,BAD SAD AND MAD,Life is a Bi…,BIBI,63,BIBI,2021-04-28,0zPbUxvYRlCGwruakkXPLI,0.746,0.558,0,-7.47,0,0.088,0.00019,0.0904,0.638,90.013,154988,4,This Is BIBI
133,"Very, Slowly",Twenty-Five Twenty-One OST Part 3,BIBI,60,BIBI,2022-02-20,7GkHIsnziYgk6j1lx2TK6H,0.528,0.423,8,-7.381,1,0.0264,0.00148,0.167,0.249,135.917,214852,4,This Is BIBI
134,MotoSpeed 24,Sweet Sorrow of Mother,BIBI,57,BIBI,2022-10-24,0BPwEuU9qegqVSob1Ihm97,0.61,0.597,11,-5.169,1,0.0294,1.81e-05,0.136,0.295,95.004,133905,4,This Is BIBI
135,Restless,LISTEN 035 Restless,BIBI,60,BIBI,2020-02-02,4AHNi316rl3KI3hKIsdxZe,0.575,0.607,5,-6.897,1,0.0274,0.000112,0.115,0.298,89.985,267080,4,This Is BIBI
136,Maybe if,"Our Beloved Summer (Original Television Soundtrack), Pt. 2",BIBI,58,BIBI,2021-12-13,6MxIazgQENgaa6StpFxGpu,0.593,0.437,0,-7.098,1,0.0552,0.0,0.0919,0.484,121.662,209600,4,This Is BIBI
137,Life is a Bi…,Life is a Bi…,BIBI,59,BIBI,2021-04-28,4d79iPe88TzFewhFk2vrcy,0.722,0.501,10,-6.113,0,0.0625,0.0,0.0857,0.541,144.076,156742,4,This Is BIBI
138,PADO,PADO,BIBI,55,BIBI,2021-09-10,1PSDpiTgnkxHc7GhKrHCaA,0.69,0.784,5,-5.235,1,0.0324,0.0,0.152,0.642,120.101,193133,4,This Is BIBI
139,비누,비누,BIBI,55,BIBI,2019-05-15,0lSJQip2wVidbu1JfZ4IEQ,0.842,0.522,4,-5.815,0,0.0329,0.0,0.191,0.641,119.045,182200,4,This Is BIBI
140,Sweet Sorrow of Mother,Sweet Sorrow of Mother,BIBI,53,BIBI,2022-10-24,6s7KK3ktVQaLNjiIVxlmV2,0.736,0.148,9,-9.725,1,0.0594,0.0,0.13,0.863,148.101,66430,4,This Is BIBI
141,Dingo X BIBI - she got it,Dingo X BIBI - she got it,BIBI,54,BIBI,2020-08-06,29wNMwCoKetR1EdruKR3I9,0.757,0.687,7,-5.485,0,0.0443,0.0,0.115,0.583,99.992,215736,4,This Is BIBI
142,Never Gonna Come Down,Shang-Chi and The Legend of The Ten Rings: The Album,88rising,51,BIBI,2021-09-03,2u2QmdOex0MnbWuHmC7jcD,0.777,0.689,11,-5.291,1,0.0785,0.0,0.062,0.873,150.036,203800,4,This Is BIBI
143,Umm… Life,Life is a Bi…,BIBI,49,BIBI,2021-04-28,1VUMGh78m27FPB1vXL9ipW,0.809,0.427,11,-7.948,0,0.0355,0.0277,0.0979,0.127,104.032,131210,4,This Is BIBI
144,Crazy Like You (feat. BIBI),"Bare&Rare, Pt. 1",CHUNG HA,50,BIBI,2022-07-11,0oUK4m2wNIBPfejlcB1N9k,0.536,0.639,9,-3.999,0,0.0447,0.0,0.209,0.502,170.94,175480,3,This Is BIBI
145,Step?,Step?,BIBI,50,BIBI,2019-11-28,3fU8FWNIgHEOepLTidZWyq,0.644,0.517,2,-7.812,1,0.0525,0.000488,0.0876,0.212,160.048,191667,4,This Is BIBI
146,AUTOMATIC,AUTOMATIC,Various Artists,51,Moon Sujin,2020-10-14,2xYnqYBNL62ypPiA0wjD0s,0.72,0.703,8,-5.281,1,0.0409,0.0,0.121,0.492,99.999,268293,4,This Is BIBI
147,Eat My Love,Eat My Love,BIBI,48,BIBI,2021-02-01,0nkmvo78mFGGRab2BwK37i,0.833,0.743,8,-4.408,1,0.0367,0.0,0.104,0.802,119.981,162867,4,This Is BIBI
148,PIRI the dog,Life is a Bi…,BIBI,47,BIBI,2021-04-28,6gabKCONBTCv2n84TzKqU7,0.872,0.466,11,-7.113,1,0.0637,2.7e-05,0.126,0.348,138.039,140827,4,This Is BIBI
149,나비,사랑하는 사람들을 위한 지침서,BIBI,47,BIBI,2019-06-12,51bAYkcnw2WvMo4tps2txV,0.535,0.787,8,-4.193,0,0.112,2.41e-06,0.074,0.777,184.003,193430,4,This Is BIBI
150,Eleven (feat. BIBI),Blueline,twlv,46,BIBI,2019-03-15,1UaHqU3pJSczM0SijabTtn,0.502,0.576,6,-6.145,1,0.0466,0.0,0.17,0.205,89.897,196520,4,This Is BIBI
151,Hanryang,Hanryang,Min Kyunghoon,49,BIBI,2020-12-19,2JHHa7MKQahUQi5d4At1GZ,0.698,0.729,2,-3.67,1,0.101,0.0,0.0918,0.306,140.083,202867,4,This Is BIBI
152,Birthday Cake,Life is a Bi…,BIBI,46,BIBI,2021-04-28,7pWDe8ZTlJhviurwrCYU1c,0.645,0.276,1,-9.343,0,0.0423,1.46e-05,0.0926,0.415,107.933,136841,4,This Is BIBI
153,She Said (with BIBI),with HER,Crush,46,BIBI,2020-10-20,53ea1y50REK9XOjzEmsm4W,0.685,0.655,10,-4.749,0,0.129,0.0,0.102,0.574,142.087,208787,4,This Is BIBI
154,I'm good at goodbyes,I'm good at goodbyes,BIBI,45,BIBI,2020-07-10,71dXEYXl5IwX9EkHrrKj07,0.663,0.517,3,-6.904,0,0.0987,2.32e-05,0.109,0.344,90.07,204187,4,This Is BIBI
155,EVERYTHING,EVERYTHING,Way Ched,46,ASH ISLAND,2020-11-15,1KW2m4ofkMZOLSFCb5Hjug,0.745,0.728,4,-4.846,0,0.0606,0.0,0.0995,0.717,95.021,206393,4,This Is BIBI
156,Meu Tempo (Feat. BIBI & Simon Dominic) (Prod. GRAY),School Rapper4 Semi Final 1,Various Artists,44,Simon Dominic,2021-04-10,1nM7C8olIT4wk6Fji2ILYd,0.754,0.888,7,-1.959,1,0.0658,3.71e-05,0.0793,0.621,105.035,197714,4,This Is BIBI
157,Love & hate (Feat. BIBI),RANDOM BOX,ZICO,43,BIBI,2020-07-01,61IDvkbJDswvorhLqcplMW,0.807,0.647,11,-3.628,1,0.0562,0.0,0.085,0.535,104.968,196867,4,This Is BIBI
158,Galipette - BIBI Remix,Galipette (BIBI Remix),Lolo Zouaï,43,BIBI,2021-08-26,7x5xZs5VbPxNsdmGAj6Hch,0.727,0.644,0,-4.919,1,0.0524,0.0,0.648,0.638,144.979,122638,4,This Is BIBI
159,froyo (feat. Warren Hue),Head In The Clouds Forever,88rising,44,Warren Hue,2022-04-16,1pEewu35ctFmfOQ6ObwQuq,0.508,0.688,0,-5.483,0,0.136,0.0,0.157,0.335,145.089,309121,4,This Is BIBI
160,NAAN,"NAAN (From The Original TV Show ""Live On"")",BIBI,42,BIBI,2020-12-08,5bhAoJiNO8a2FIgRE5ypxf,0.585,0.603,3,-4.546,1,0.0391,0.00386,0.12,0.325,141.962,167240,4,This Is BIBI
161,WHY Y (Feat. Tiger JK),WHY Y,BIBI,41,Tiger JK,2021-07-27,7k9rM0ZCWUn5Dg1t0vj0vi,0.687,0.745,1,-3.671,1,0.0413,0.0,0.172,0.493,99.999,186533,4,This Is BIBI
162,FEVER,FEVER,J.Y. Park,45,BIBI,2019-12-01,0x9Vpw90j9fDb669IydnHL,0.832,0.827,0,-2.932,1,0.144,6.02e-06,0.0949,0.809,95.963,173925,4,This Is BIBI
163,Fedexx Girl (Feat. 창모),사랑하는 사람들을 위한 지침서,BIBI,42,CHANGMO,2019-06-12,2NBAwbspdemK8N2lerVXDz,0.648,0.523,1,-9.368,1,0.064,0.0,0.134,0.352,90.995,209000,4,This Is BIBI
164,AUTOMATIC REMIX,AUTOMATIC REMIX,Various Artists,47,BIBI,2020-11-05,2lCinwx9z9Fmr8kcXDei0c,0.741,0.654,7,-5.485,0,0.0495,0.0,0.436,0.539,100.003,938893,4,This Is BIBI
165,This is Pengsoo,Billboard Project Vol.1,Various Artists,39,BIBI,2020-04-21,3al49T4uo0nQjJRmGF5sY0,0.908,0.585,0,-3.812,0,0.156,0.0,0.0898,0.644,120.052,171373,4,This Is BIBI
166,Te Quiero(feat.BIBI),K.I.S.S,twlv,37,BIBI,2020-01-18,1CxgsJPNnz5X3j92ky5mie,0.448,0.662,11,-5.843,0,0.0505,0.0,0.187,0.12,93.12,194645,4,This Is BIBI
167,Pretty Ting (Feat. 김승민),사랑하는 사람들을 위한 지침서,BIBI,41,Kim Seungmin,2019-06-12,2sYSm57KSNxOF9gz3qWLMX,0.606,0.763,6,-5.504,0,0.274,0.0,0.113,0.417,165.986,175000,3,This Is BIBI
168,Timeless,괴물 (Original Television Soundtrack) Pt. 2,BIBI,36,BIBI,2021-03-06,4XCMEsPoPT6L8Xcc7h0Seh,0.505,0.722,6,-3.443,0,0.0353,0.000128,0.248,0.243,97.977,201160,4,This Is BIBI
169,Fly with me,THE FAN 4ROUND Part.2,BIBI,35,BIBI,2019-01-19,4GOuXgEtvG7LrCK4RQ0UaQ,0.369,0.405,2,-5.972,0,0.0325,0.0,0.395,0.15,112.903,202398,3,This Is BIBI
170,Hangang,THE FAN TOP2,BIBI,33,BIBI,2019-02-09,4WEbWA7Fz8CgMWeeRZ0Ixy,0.452,0.294,8,-8.635,0,0.0504,0.0,0.121,0.404,88.35,223146,4,This Is BIBI
171,Give More Care Less,사랑하는 사람들을 위한 지침서,BIBI,39,BIBI,2019-06-12,5BgaMwhezsBb5JTUYeVLZ7,0.642,0.455,9,-9.859,0,0.0317,8.62e-06,0.108,0.124,83.527,186750,4,This Is BIBI
172,Stay With Me,"Oh! Master (Original Television Soundtrack), Pt. 5",BIBI,34,BIBI,2021-05-06,17g0gdR2VUf6HUE4v04gnM,0.465,0.328,7,-8.606,1,0.0283,0.0224,0.111,0.117,131.619,235000,4,This Is BIBI
173,Long time ago,THE FAN 1ROUND Part.1,BIBI,32,BIBI,2018-11-24,4HTuOpF4smATh5XrlopZ8S,0.609,0.425,2,-4.527,1,0.0279,0.0,0.0654,0.293,106.258,203529,3,This Is BIBI
174,cute lil thug,THE FAN TOP3,Yoon Mirae,34,BIBI,2019-02-02,1A2XnaNmVc3Vf4E8Emjeet,0.748,0.758,4,-4.715,0,0.0324,0.0,0.157,0.132,127.992,201000,4,This Is BIBI
175,Do I Lust For You,Drunken Tiger X: Rebirth of Tiger Jk,Drunken Tiger,31,BIBI,2018-11-14,4lJHdX5aleW4MIHhcjuOQ1,0.736,0.606,11,-3.898,0,0.133,1.43e-06,0.069,0.576,102.105,163919,4,This Is BIBI
176,show off (feat. BIBI),"u n u, Pt. 2",nafla,32,BIBI,2020-03-24,0LzTkTN0u6xo011l8dafHi,0.734,0.549,2,-7.508,0,0.117,0.00223,0.137,0.529,160.087,231013,4,This Is BIBI
177,Drive You Home,Drive You Home,Jackson Wang,58,Internet Money,2021-07-29,7uidJM7xBikobIitpHQKZ4,0.653,0.694,1,-6.284,1,0.039,0,0.111,0.226,96.024,216164,4,This Is Jackson Wang
178,LMLY,LMLY,Jackson Wang,65,Jackson Wang,2021-03-26,3Jbpo2slhW2bbVneiJnC9G,0.727,0.736,8,-6.566,1,0.0319,0,0.119,0.717,139.929,209999,4,This Is Jackson Wang
179,I Love You 3000 II,Head In The Clouds II,88rising,63,Jackson Wang,2019-10-11,3witRpHWHqArlnt6GTlH2Y,0.435,0.338,6,-9.109,1,0.066,0,0.412,0.354,179.727,209643,4,This Is Jackson Wang
180,Dopamine,MAGIC MAN,Jackson Wang,58,Jackson Wang,2022-09-09,0oS1B3PW9LyPSzghUKEjf8,0.546,0.588,7,-7.449,1,0.036,9.24e-06,0.266,0.214,114.998,191826,4,This Is Jackson Wang
181,Blow,Blow,Jackson Wang,62,Jackson Wang,2022-03-31,0QPPJN3d42PINVAyBPZTC3,0.535,0.586,7,-8.256,1,0.107,0,0.0745,0.823,124.853,163933,4,This Is Jackson Wang
182,Cruel,Cruel,Jackson Wang,62,Jackson Wang,2022-07-29,0SxQz5uPZ5cAGWzj6MvzrX,0.588,0.494,11,-7.129,0,0.0309,0.000114,0.156,0.539,78.99,195020,4,This Is Jackson Wang
183,100 Ways,100 Ways,Jackson Wang,62,Jackson Wang,2020-03-20,4mQMvcRtQou5yI8mjuJ1lf,0.801,0.783,7,-7.08,1,0.241,0,0.285,0.613,109.955,168627,4,This Is Jackson Wang
184,Blue,MAGIC MAN,Jackson Wang,58,Jackson Wang,2022-09-09,1zegsS9aVbruFe8hurz87X,0.581,0.495,2,-6.939,1,0.0336,0.000796,0.126,0.391,140.175,159928,4,This Is Jackson Wang
185,Walking (feat. Swae Lee & Major Lazer),Head In The Clouds II,88rising,61,Major Lazer,2019-10-11,1qbXrxctv75pm1lWCn6Zw3,0.701,0.663,6,-7.227,1,0.202,1.04e-05,0.131,0.334,100.001,167080,4,This Is Jackson Wang
186,Pretty Please,Pretty Please,Jackson Wang,57,Galantis,2020-09-04,5Rse8If81NbzXL1ARjHOTB,0.686,0.867,6,-4.396,0,0.0449,4.18e-05,0.396,0.691,126.068,145792,4,This Is Jackson Wang
187,過 (Should've Let Go),過 (Should've Let Go),Jackson Wang,52,JJ Lin,2020-12-17,1lrafepXruMZB5qHCNqy88,0.691,0.481,0,-6.036,1,0.0338,0,0.0898,0.149,127.936,203787,4,This Is Jackson Wang
188,Go Ghost,MAGIC MAN,Jackson Wang,55,Jackson Wang,2022-09-09,7JYg7oZN1CLzxpBtreXWh9,0.733,0.671,7,-5.325,0,0.0399,1.09e-05,0.0848,0.439,95.007,140833,4,This Is Jackson Wang
189,Mind Games (feat. Jackson Wang),Mind Games (feat. Jackson Wang),88rising,54,Jackson Wang,2022-08-19,6JbxkCyeOto3xXjcFalZ3e,0.652,0.47,11,-8.412,1,0.036,0,0.229,0.32,100.052,193252,4,This Is Jackson Wang
190,California (feat. Jackson Wang & Warren Hue) - [Remix],California (feat. Jackson Wang & Warren Hue) [Remix],88rising,52,Jackson Wang,2021-07-15,1SZcEr3Wo7vvK4UUn3bi8v,0.773,0.629,7,-6.232,0,0.0283,1.11e-06,0.189,0.589,141.958,273927,4,This Is Jackson Wang
191,Tequila Sunrise (feat. AUGUST 08 & GoldLink),Head In The Clouds II,88rising,52,AUGUST 08,2019-10-11,121bJml1xjrfnZuk2yPsLG,0.8,0.545,0,-6.74,1,0.0765,5.07e-05,0.0929,0.458,99.981,243332,4,This Is Jackson Wang
192,Drive It Like You Stole It,MAGIC MAN,Jackson Wang,55,Jackson Wang,2022-09-09,3xrI4z7yKGFUGMVpwXYsTC,0.827,0.696,4,-4.59,0,0.078,1.78e-06,0.093,0.526,110.93,180149,4,This Is Jackson Wang
193,TITANIC (feat. Rich Brian),MIRRORS,Jackson Wang,53,Rich Brian,2019-10-25,6k6pPAqLxleqb3fbMtVjxe,0.894,0.748,11,-8.22,0,0.338,0,0.057,0.697,99.983,141147,4,This Is Jackson Wang
194,MAGNETIC (Feat. Jackson Wang),PIECES by RAIN,Rain,48,Jackson Wang,2021-03-03,6TjKxof5hlyeufrKpZS6G1,0.826,0.657,11,-4.481,0,0.122,0,0.277,0.898,159.986,158840,4,This Is Jackson Wang
195,Vibes,LOST & FOUND,Jackson Wang,44,Jackson Wang,2022-03-07,15GONgBS8aFpccUtE8StIo,0.653,0.563,5,-8.153,1,0.0604,0,0.119,0.452,162.015,159080,4,This Is Jackson Wang
196,Champagne Cool,MAGIC MAN,Jackson Wang,56,Jackson Wang,2022-09-09,308ekVBPtp2xbTXJ8StWoc,0.506,0.84,3,-6.232,0,0.177,0,0.218,0.584,179.774,162342,4,This Is Jackson Wang
197,BULLET TO THE HEART,MIRRORS,Jackson Wang,51,Jackson Wang,2019-10-25,5tkjn7d0Lg2xdccE2aGqs7,0.789,0.452,1,-6.149,1,0.114,0,0.0868,0.675,159.835,145720,4,This Is Jackson Wang
198,Papillon,Papillon,Jackson Wang,51,Jackson Wang,2017-08-26,0sHZzinNs6zUXnxcwhFYES,0.822,0.684,4,-2.507,0,0.253,0,0.0986,0.502,170.157,195036,4,This Is Jackson Wang
199,M.I.A (feat. Jackson Wang),Wallflower,Afgan,46,Jackson Wang,2021-04-09,6piGF4icHZGnw5FlKULGDs,0.723,0.458,6,-5.572,0,0.17,0,0.0879,0.357,113.954,178799,4,This Is Jackson Wang
200,Come Alive,MAGIC MAN,Jackson Wang,54,Jackson Wang,2022-09-09,2mrG7QoaHDD1kYhr5jeK9q,0.59,0.689,6,-6.634,0,0.0338,1.79e-05,0.0627,0.667,93.004,172429,4,This Is Jackson Wang
201,U & I,"The Package (Original Television Soundtrack), Pt. 4",JAY B,44,Jackson Wang,2017-10-27,20V840DuCck4hDp71LHuHx,0.797,0.471,0,-7.067,1,0.0291,1.12e-06,0.109,0.574,99.949,213898,4,This Is Jackson Wang
202,Dawn of us,Dawn of us,Jackson Wang,47,Jackson Wang,2018-04-20,2NpKyrIlJOHszUS2cXpEMU,0.834,0.588,0,-6.243,1,0.0759,4.25e-06,0.112,0.489,141.944,179834,4,This Is Jackson Wang
203,Oxygen,Oxygen,Jackson Wang,49,Jackson Wang,2019-04-12,1L3l7GXxByDSriYTwbwuZm,0.729,0.718,3,-2.313,0,0.0622,0,0.24,0.412,123.892,158710,4,This Is Jackson Wang
204,爱 - I Love You 3000 Chinese Version,MIRRORS,Jackson Wang,46,Jackson Wang,2019-10-25,74p24yUzO0uiZmt8v0G4Hg,0.494,0.374,6,-10.45,1,0.0534,4.56e-06,0.409,0.221,180.04,210160,4,This Is Jackson Wang
205,Dead,LOST & FOUND,Jackson Wang,42,Jackson Wang,2022-03-07,1WThX6BMgvD1XmEkbwPPLs,0.72,0.552,1,-9.346,1,0.158,0.00183,0.111,0.622,90.045,139853,4,This Is Jackson Wang
206,王嘉爾,王嘉爾,Jackson Wang,46,Jackson Wang,2022-01-11,380m8wx1X9cSSSF5If2D9X,0.763,0.648,8,-5.18,1,0.0472,9.43e-05,0.167,0.476,100.057,273133,4,This Is Jackson Wang
207,OKAY,OKAY,Jackson Wang,47,Jackson Wang,2017-11-30,6EyVzKFaV2quTgrjnql7WT,0.905,0.684,4,-5.18,0,0.0703,0,0.0554,0.542,120.025,192729,4,This Is Jackson Wang
208,ON THE ROCKS,MIRRORS,Jackson Wang,45,Jackson Wang,2019-10-25,5O6QbgZZ9z1mFo8cOlSRrf,0.676,0.693,10,-7.282,1,0.0518,0,0.127,0.397,148.022,188760,4,This Is Jackson Wang
209,In My Bed,LOST & FOUND,Jackson Wang,42,Jackson Wang,2022-03-07,5IXhUQkWwNi9z10H7Xopho,0.792,0.559,0,-9.124,0,0.173,8.35e-05,0.188,0.434,84.016,138627,4,This Is Jackson Wang
210,一個人 (Alone),一個人 (Alone),Jackson Wang,44,Jackson Wang,2021-01-30,7hDg1QQOiqQmQzx1nORGwi,0.654,0.395,4,-8.169,0,0.0402,0,0.124,0.114,75.007,185547,4,This Is Jackson Wang
211,Red,Red,Jackson Wang,42,ICE,2019-01-14,7Lby0vWuuIeJiiVhZbWj92,0.735,0.846,2,-3.002,1,0.0592,0,0.0794,0.521,174.134,168464,4,This Is Jackson Wang
212,UNLESS I'M WITH YOU,MIRRORS,Jackson Wang,43,Jackson Wang,2019-10-25,1OelkS095FL6l9AOGaky6Y,0.714,0.501,1,-8.548,0,0.183,2.53e-05,0.11,0.422,159.899,147027,4,This Is Jackson Wang
213,Poison,LOST & FOUND,Jackson Wang,42,Jackson Wang,2022-03-07,3uDsqwK25QnO75jDupZZnZ,0.614,0.843,0,-8.367,1,0.0521,0.00146,0.207,0.767,159.999,192280,4,This Is Jackson Wang
214,X,X,Jackson Wang,41,Jackson Wang,2018-05-25,0PFIjuocFoKAx8xFxIFZYb,0.81,0.817,5,-2.674,1,0.069,0,0.297,0.698,110.024,132781,4,This Is Jackson Wang
215,Damn Girl - feat. Jackson Wang,HIP LIFE:POP LIFE,CrazyBoy,36,Jackson Wang,2022-01-21,7JI2h6KUHs1h1CaDfhRvMR,0.593,0.716,9,-5.976,1,0.114,0,0.0629,0.488,193.819,182572,4,This Is Jackson Wang
216,DWAY!,MIRRORS,Jackson Wang,43,Jackson Wang,2019-10-25,0IbaAAp2pL2QMCshGQlvTe,0.845,0.498,1,-5.953,1,0.0592,0,0.0918,0.486,98.973,145240,4,This Is Jackson Wang
217,Blackout,LOST & FOUND,Jackson Wang,42,Jackson Wang,2022-03-07,3seTKIM6brUxC8M2rHGPkC,0.655,0.627,2,-6.687,1,0.0471,3.36e-05,0.153,0.782,167.94,156640,4,This Is Jackson Wang
218,Creo en Mi (feat. Jackson Wang),Believe In Mi,Sammi Cheng,38,Jackson Wang,2018-08-17,1hrF3WXuEqjP5N6wTHSDH3,0.443,0.577,4,-6.468,1,0.0361,0,0.151,0.2,159.775,243000,4,This Is Jackson Wang
219,Face Power (feat. Jackson Wang),Mr. Enjoy Da Money,KnowKnow,38,Jackson Wang,2019-12-12,1Q9TJqc5c3MJxU6UG57h9C,0.793,0.737,1,-5.872,1,0.237,0,0.0945,0.172,88.493,178983,4,This Is Jackson Wang
220,So Bad (feat. 王嘉爾),So Bad (feat. 王嘉爾),VaVa,36,Jackson Wang,2021-03-13,1w1jW6d9KSoa2fQkdmu5wa,0.693,0.564,6,-7.836,1,0.0655,0,0.147,0.54,96.9,194099,4,This Is Jackson Wang
221,Power,LOST & FOUND,Jackson Wang,40,Jackson Wang,2022-03-07,7t9iVETNnjZ4Ew8dyILRpe,0.649,0.749,7,-8.043,0,0.0536,1.28e-06,0.251,0.933,158.03,190080,4,This Is Jackson Wang
222,Born To Be Alive - From 'Minions: The Rise of Gru' Soundtrack,Born To Be Alive (From 'Minions: The Rise of Gru' Soundtrack),Jackson Wang,43,Jackson Wang,2022-07-01,3xfa9a3Qir4ybQRbvHBVLH,0.673,0.734,2,-6.699,1,0.0325,0.000942,0.14,0.597,131.553,192425,4,This Is Jackson Wang
223,Papillon-Postlude of The Rookies - BOYTOY remix,Papillon-Postlude of The Rookies (BOYTOY remix),Jackson Wang,35,Jackson Wang,2019-07-05,4MTAG5idymDZB1kmvDtfwc,0.571,0.943,9,-3.989,0,0.0603,0.00326,0.2,0.807,170.109,219176,4,This Is Jackson Wang
224,Bruce Lee,Bruce Lee,Al Rocco,37,Fader One,2018-07-15,4ZBnVJsSJO2LVgKpK68dHv,0.882,0.613,11,-8.077,0,0.296,0,0.294,0.72,134.013,179886,4,This Is Jackson Wang
225,When I Get Old,When I Get Old,Christopher,64,CHUNG HA,2022-10-20,5f2CcxzZoW7hNs1O8NhG6y,0.723,0.641,9,-4.17,0,0.0315,0,0.203,0.658,127.418,184828,4,This Is CHUNG HA
226,Sparkling,"Bare&Rare, Pt. 1",CHUNG HA,60,CHUNG HA,2022-07-11,6TzU11huC8Hz4FVEsvCeE7,0.6,0.923,1,-1.926,0,0.105,0,0.32,0.712,160.025,186907,4,This Is CHUNG HA
227,XXXX,"Bare&Rare, Pt. 1",CHUNG HA,48,CHUNG HA,2022-07-11,49jIwnU0pAUWorDG4ahISg,0.741,0.662,9,-4.639,1,0.205,0,0.306,0.713,109.953,168000,4,This Is CHUNG HA
228,Louder,"Bare&Rare, Pt. 1",CHUNG HA,40,CHUNG HA,2022-07-11,4cZvTWcgPyHx2eZb0ruyX3,0.843,0.75,5,-4.942,1,0.0421,0,0.0275,0.835,109.886,179760,4,This Is CHUNG HA
229,Crazy Like You (feat. BIBI),"Bare&Rare, Pt. 1",CHUNG HA,50,BIBI,2022-07-11,0oUK4m2wNIBPfejlcB1N9k,0.536,0.639,9,-3.999,0,0.0447,0,0.209,0.502,170.94,175480,3,This Is CHUNG HA
230,California Dream,"Bare&Rare, Pt. 1",CHUNG HA,45,CHUNG HA,2022-07-11,3ulIMvCtahvAmAQHcCbDFs,0.769,0.803,5,-3.501,0,0.115,0,0.0832,0.503,119.923,179227,4,This Is CHUNG HA
231,Good Night My Princess,"Bare&Rare, Pt. 1",CHUNG HA,40,CHUNG HA,2022-07-11,12QoF5mIoZ1ZrVZFoc2Nwl,0.446,0.475,11,-5.953,1,0.0293,0,0.0859,0.112,139.267,232080,1,This Is CHUNG HA
232,Love Me Out Loud,"Bare&Rare, Pt. 1",CHUNG HA,43,CHUNG HA,2022-07-11,1zFT6Z2zT4Z4kUFnerd9lE,0.397,0.697,1,-3.749,1,0.0561,0,0.198,0.414,120.926,204760,4,This Is CHUNG HA
233,Nuh-Uh,"Bare&Rare, Pt. 1",CHUNG HA,41,CHUNG HA,2022-07-11,0um5z70pgfggfEzkhQuspz,0.502,0.692,10,-6.174,0,0.262,0.000182,0.174,0.608,154.301,200880,5,This Is CHUNG HA
234,A Star in the dawn,"Bloody Heart, Pt. 4 (Original Television Soundtrack)",CHUNG HA,32,CHUNG HA,2022-05-23,3w0ICgCMIiWdvdgRs3suj2,0.42,0.428,8,-4.788,1,0.0315,0,0.089,0.261,144.236,213920,4,This Is CHUNG HA
235,It's only mine,Seoul Check-in OST Part 4,CHUNG HA,26,CHUNG HA,2022-04-30,4NGt7PDTJE5rBWhU79kEBz,0.654,0.575,1,-5.57,0,0.0372,0,0.118,0.441,89.984,211083,4,This Is CHUNG HA
