,song name,album,artist,popularity,featured,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
28,Besidju,Besidju,shamana,55,Joji,2016-11-11,3nUyfV0XhG8sysUfgEDmdI,0.747,0.413,5,-15.392,0,0.409,0.000792,0.123,0.221,105.053,107442,4,This Is Joji
29,La Cienega,Head In The Clouds,88rising,58,NIKI,2018-07-20,3iGz75NJkqHubYUMRELLyP,0.61,0.318,8,-9.95,1,0.148,0.000617,0.102,0.214,109.491,192607,3,This Is Joji
30,Think About U (feat. Joji),Elsewhere,Ryan Hemsworth,55,Joji,2018-09-21,4yakjUoss5rjOdPWQ8mW6Q,0.324,0.353,0,-10.119,1,0.0335,0.139,0.262,0.0569,121.788,168975,4,This Is Joji
31,Gates to the Sun (POLLEN Singles),Gates to the Sun (POLLEN Singles),SahBabii,57,Joji,2020-09-16,6EG0w98d2S1u1copDAHDqP,0.717,0.459,4,-11.101,1,0.236,0.0123,0.143,0.373,143.948,135748,4,This Is Joji
32,Where Does The Time Go (feat. Joji),The Sailor,Rich Brian,54,Joji,2019-07-26,0D7EgPJwNzBTSej80OveHZ,0.642,0.553,2,-6.573,1,0.0265,9.79e-06,0.112,0.129,139.925,251289,4,This Is Joji
33,Peach Jam,Head In The Clouds,88rising,56,BlocBoy JB,2018-07-20,6dktyiCWz2JYGmcPQ5D5dY,0.857,0.668,7,-6.816,1,0.052,0.000595,0.101,0.624,89.986,161713,4,This Is Joji
34,Keeping Tabs,Nicole,NIKI,64,NIKI,2022-08-12,2zz4plJxtgMIsQg5SMl2Bg,0.651,0.627,7,-6.842,1,0.164,0,0.0941,0.441,169.955,177720,4,This Is NIKI
35,Oceans & Engines,Oceans & Engines,NIKI,71,NIKI,2022-07-08,3vZk7OAUjMtVDNC852aNqi,0.395,0.309,1,-8.919,1,0.033,2.17e-05,0.0931,0.0673,142.012,336001,3,This Is NIKI
36,High School in Jakarta,High School in Jakarta,NIKI,76,NIKI,2022-08-05,5rbuv6zso7QSaKt265H3M3,0.871,0.485,7,-8.294,0,0.0411,7.37e-05,0.169,0.494,119.976,219036,4,This Is NIKI
37,Every Summertime,Every Summertime,NIKI,79,NIKI,2021-08-10,68HocO7fx9z0MgDU0ZPHro,0.628,0.676,6,-4.227,1,0.0424,6.94e-05,0.0978,0.723,78.996,215687,4,This Is NIKI
38,lowkey,lowkey,NIKI,77,NIKI,2019-04-24,5TTXEcfsYLh6fTarLaevTi,0.752,0.494,0,-8.18,1,0.0559,0,0.0869,0.227,117.901,171356,4,This Is NIKI
39,I Like U,I Like U,NIKI,71,NIKI,2017-09-27,6f7BE3VcZScJx6n3wsf5Z3,0.48,0.526,5,-7.099,1,0.275,0,0.0879,0.374,199.662,267733,3,This Is NIKI
