,artist,monthly listeners
0,The Weeknd,78929182
1,Ed Sheeran,77340632
2,Taylor Swift,77949736
3,David Guetta,68497234
4,Justin Bieber,68033809
5,Sam Smith,68410430
6,Harry Styles,65314712
7,Bad Bunny,62408526
8,Rihanna,64665339
9,Dua Lipa,60387414
